11.931,-24.98
-17.81,23.147
-17.346,24.534
-5.526,-6.6389
21.872,14.285
8.5576,5.1951
22.614,-17.816
-1.4321,21.858
12.027,15.763
5.688,-0.87979
-6.6152,-1.6948
-5.274,7.7866
0.51578,21.089
2.0938,24.087
-1.0432,7.3881
0.73148,18.131
9.6465,9.1576
11.399,15.366
-21.101,-14.422
12.901,-3.025
-13.145,9.3675
2.9325,-21.074
15.246,-6.0601
17.408,-23.575
14.513,7.5994
-17.454,-3.6924
-4.4652,-11.963
8.7538,19.74
2.7611,14.196
4.2349,22.2
13.94,-1.2554
14.547,-0.16587
9.1539,0.62298
0.041295,-19.923
12.045,14.633
7.8836,22.299
19.2,19.4
9.3464,17.317
7.4275,20.588
10.362,20.218
-0.50887,-11.165
22.312,-23.095
-2.0355,-19.042
-1.597,9.7105
-12.027,11.363
-14.863,-2.8297
18.865,-16.142
-22.161,7.6207
10.079,-9.3697
-19.657,6.7177
-15.635,-16.78
12.59,-20.39
4.0537,-3.84
-0.18273,3.0626
-19.176,11.913
14.193,-18.629
14.86,-9.4709
-8.8204,9.3761
5.3806,20.646
-24.98,-9.2402
-24.427,-0.022845
5.328,-22.843
-2.0275,8.6538
-11.226,-4.8428
14.781,22.372
-24.094,5.0286
-5.4442,0.81328
20.023,0.24353
14.239,-16.764
-2.8133,-16.839
22.324,21.969
12.601,7.9358
5.4958,-14.785
11.404,6.184
0.41094,21.094
18.441,23.332
-0.61501,-23.589
-6.8292,-18.584
6.2508,1.5028
17.467,6.3157
-19.591,7.4475
-7.5336,16.189
-20.297,12.988
-11.682,15.608
-0.88254,0.568
11.152,15.642
-18.25,6.6251
0.050082,8.0069
3.13,-20.283
-23.269,14.463
11.712,-21.767
-10.461,16.6
-7.0312,18.924
7.2116,-17.33
11.41,22.817
-20.987,-14.879
-16.432,-17.676
21.876,20.796
16.217,10.184
-21.061,0.51269
